,0
1,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
3,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C
5,CCN(CC)CCNC(=O)C1=CC=C(C=C1)N
7,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
9,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
11,CC1=C(C(=CC=C1)C)OCC(C)N
13,C1CCNC(C1)C[NH2+]C(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
15,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O  
17,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I
19,CC[N+](C)(C)CC1=CC=CC=C1Br 
21,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C  
23,CCCCCCCN(CC)CCCC(C1=CC=C(C=C1)NS(=O)(=O)C)O 
25,CC(CCC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O  
27, C1=CC(=C(C=C1CCN)O)O  
29,CNCC(C1=CC(=C(C=C1)O)O)O 
31,C1CNCC(C2=CC(=C(C(=C21)Cl)O)O)C3=CC=C(C=C3)O  
33,CC(C)NCC(C1=CC(=C(C=C1)O)O)O  
35,COC1=CC(=C(C=C1)OC)C(CNC(=O)CN)O 
37,C1=CC(=C(C=C1C(CN)O)O)O
39,CNCC(C1=CC(=CC=C1)O)O
41,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
43,CC1CC(=O)NN=C1C2=CC=C(C=C2)NN=C(C#N)C#N
45,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O[N+](=O)[O-]
47,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O
49,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]
51,CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NCC(=O)NC(CSSCC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCNC(=N)N)CC(=O)O)CCSC)CCCCN)CCCNC(=N)N)CC2=CC=CC=C2)NC(=O)CNC(=O)C(CO)NC(=O)CNC(=O)C(CCC(=O)N)NC(=O)C(C(C)C)NC(=O)C(CCSC)NC(=O)C(CCCCN)NC(=O)C3CCCN3C(=O)C(CO)N)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CC4=CNC=N4)C(=O)O)CC(C)C)CO)CO)CO)CO
53,C1=CC(=CN=C1)C(=O)NCCO[N+](=O)[O-]  
55,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
57,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
59,C1CCC2C(C1)CC(N2C(=O)C3CC4=CC=CC=C4CN3C(=O)C(CO)NC(=O)C(CC5=CC=CS5)NC(=O)CNC(=O)C6CC(CN6C(=O)C7CCCN7C(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)N)O)C(=O)NC(CCCN=C(N)N)C(=O)O
61,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
63,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
65,CN(CCCN1CCC2=CC(=C(C=C2CC1=O)OC)OC)CC3CC4=CC(=C(C=C34)OC)OC
67,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O  
69,CNC(=O)C1=CN(N=C1)C2=NC(=C3C(=N2)N(C=N3)C4C(C(C(O4)CO)O)O)N
71,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C=CC6=CC(=C(C(=C6)OC)OC)OC
73,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
75,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N
77,C1CN=C(N1)NC2=C(C=CC=C2Cl)Cl  
79,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl  
81,CC1=NC(=C(C(=N1)Cl)NC2=NCCN2)OC
83,CC1(C2CCC(C2)C1(C)NC)C
